ID;Номенклатура;Количество;Стоимость;Комментарий
1001;труба БШ 219х8;1113;10000;3999 - Dima raper;10000 - Dima hip-hop;1000000 - sdfsdf
1002;труба БШ 89х6,0;6119;10000
1003;труба БШ 76х5,0;2437;10000
1004;Труба ЭЛВС 325х7;775;10000
1005;Труба ЭЛВС 273х6;1517;10000
1006;Труба круглая 219х5;8853;10000
1007;Труба квадр.160х160х5;5145;10000
1008;Труба квадр.160х160х6;9503;10000
1009;180х180х5;1361;10000;4000 - sfdsfddfsfsd
1010;180х180х6;7449;10000
1011;труба БШ 57х3,5;8118;10000
1012;труба БШ 159х6,0;2149;10000
1013;Труба 530х8;1500;10000
1014;Труба 219х6;8603;10000
1015;Труба 325х8;6699;10000
1016;Труба э/с 133х4,5;8784;10000
1017;Труба 80х60х3,0;3793;10000
1018;Труба проф. 80х80х3;6316;10000
1019;Труба проф. 80х80х4;4951;10000
1020;Труба б/ш 60х8;9083;10000
1021;Труба б/ш 57х4;6927;10000
1022;Труба 18х3,0;3941;10000
1023;Труба б/ш 51х4;6603;10000
1024;труба 15х2,5х5,8 Арселор;1650;10000
1025;труба 50х3,0х10 Арселор;7543;10000
1026;труба 65х3,2х10 Арселор;9003;10000
1027;труба 80х3,5х10 Арселор;8569;10000
1028;труба 20х2,5х5,8 Арселор;262;10000
1029;труба 25,х2,8х5,8 Арселор;7328;10000
1030;труба 32,х2,8х5,8 Арселор;4198;10000
1031;труба 27х3х12;2850;10000
2001;уголок 50х50х4 ст3сп УзМЗ;9091;10000
2002;уголок 35х35х4 ст3сп УзМЗ;6733;10000
2003;уголок 50х50х5 ст3сп ЕВРАЗ;1709;10000
2004;уголок 50х50х5 оцинк;7015;10000
2005;уголок 63х63х5 ст3сп ЧМК;8863;10000
2006;уголок 63х63х5 ст3сп УзМз;6181;10000
2008;уголок 75х75х6 ст3сп УзМЗ;7597;10000
2009;уголок 75х75х5 ст3сп Балаково;6655;10000
2010;уголок 70х70х6 ст3сп;9518;10000
2011;уголок 80х80х6 ст3сп УзМЗ;2557;10000
2012;рп 80х80х6 ст 3СП;9860;10000
2013;рп 80х80х8 ст 3СП;5446;10000
2014;рп 90х90х6 ст 3СП;3971;10000
